fileName;probScore;xTopLeft;yTopLeft;xDownRight;yDownRight;
jpgImages\video\frames\moana_1080p_2min 254.jpg;0.45;262.81;64.34;845.21;496.14;
jpgImages\video\frames\moana_1080p_2min 255.jpg;0.23;303.49;87.68;810.08;500.69;
jpgImages\video\frames\moana_1080p_2min 256.jpg;0.43;177.83;45.58;800.46;502.69;
jpgImages\video\frames\moana_1080p_2min 256.jpg;0.43;743.45;62.24;1016.09;491.06;
jpgImages\video\frames\moana_1080p_2min 257.jpg;0.37;744.96;60.86;1014.85;492.06;
jpgImages\video\frames\moana_1080p_2min 257.jpg;0.31;167.96;42.03;813.06;499.37;
jpgImages\video\frames\moana_1080p_2min 258.jpg;0.35;744.40;61.35;1013.91;489.56;
jpgImages\video\frames\moana_1080p_2min 258.jpg;0.31;134.83;63.02;783.46;543.50;
jpgImages\video\frames\moana_1080p_2min 259.jpg;0.83;176.21;127.20;553.46;505.56;
jpgImages\video\frames\moana_1080p_2min 260.jpg;0.91;445.20;64.48;1042.28;495.68;
jpgImages\video\frames\moana_1080p_2min 260.jpg;0.77;184.13;133.26;546.90;511.09;
jpgImages\video\frames\moana_1080p_2min 261.jpg;0.99;410.52;73.68;978.28;512.38;
jpgImages\video\frames\moana_1080p_2min 261.jpg;0.86;122.79;125.37;475.89;507.54;
jpgImages\video\frames\moana_1080p_2min 262.jpg;0.99;281.03;73.60;847.95;511.98;
jpgImages\video\frames\moana_1080p_2min 262.jpg;0.95;131.28;152.27;410.69;497.29;
jpgImages\video\frames\moana_1080p_2min 263.jpg;0.99;276.35;111.83;858.42;505.08;
jpgImages\video\frames\moana_1080p_2min 263.jpg;0.87;135.88;153.85;411.33;499.55;
jpgImages\video\frames\moana_1080p_2min 264.jpg;0.99;114.59;150.18;363.75;501.47;
jpgImages\video\frames\moana_1080p_2min 264.jpg;0.65;305.21;90.23;894.12;499.57;
jpgImages\video\frames\moana_1080p_2min 265.jpg;0.98;253.29;89.20;814.40;513.68;
jpgImages\video\frames\moana_1080p_2min 265.jpg;0.87;60.73;167.51;363.31;498.79;
jpgImages\video\frames\moana_1080p_2min 266.jpg;0.98;220.24;106.30;779.80;515.15;
jpgImages\video\frames\moana_1080p_2min 266.jpg;0.93;48.72;180.70;313.12;500.17;
jpgImages\video\frames\moana_1080p_2min 266.jpg;0.47;422.20;113.39;1003.35;495.69;
jpgImages\video\frames\moana_1080p_2min 267.jpg;0.99;13.16;190.54;269.95;499.56;
jpgImages\video\frames\moana_1080p_2min 267.jpg;0.99;275.14;114.79;835.29;506.62;
jpgImages\video\frames\moana_1080p_2min 268.jpg;0.99;172.21;79.11;750.61;510.28;
jpgImages\video\frames\moana_1080p_2min 268.jpg;0.99;1.67;179.09;338.83;500.59;
jpgImages\video\frames\moana_1080p_2min 268.jpg;0.89;602.40;84.94;978.86;494.30;
jpgImages\video\frames\moana_1080p_2min 269.jpg;0.98;64.45;182.25;404.18;504.90;
jpgImages\video\frames\moana_1080p_2min 269.jpg;0.97;251.76;86.65;815.59;499.65;
jpgImages\video\frames\moana_1080p_2min 270.jpg;1.00;284.10;89.93;841.48;508.96;
jpgImages\video\frames\moana_1080p_2min 270.jpg;0.94;74.01;155.94;414.47;503.50;
jpgImages\video\frames\moana_1080p_2min 271.jpg;0.99;74.33;177.32;407.33;498.72;
jpgImages\video\frames\moana_1080p_2min 271.jpg;0.98;275.14;106.25;849.75;509.18;
jpgImages\video\frames\moana_1080p_2min 272.jpg;0.96;125.33;152.68;406.41;502.54;
jpgImages\video\frames\moana_1080p_2min 272.jpg;0.70;310.18;68.54;834.05;527.01;
jpgImages\video\frames\moana_1080p_2min 273.jpg;0.99;96.30;177.28;389.09;502.66;
jpgImages\video\frames\moana_1080p_2min 273.jpg;0.74;315.97;97.39;878.60;517.81;
jpgImages\video\frames\moana_1080p_2min 274.jpg;1.00;69.80;177.58;402.00;501.14;
jpgImages\video\frames\moana_1080p_2min 274.jpg;0.71;300.71;63.87;842.43;519.46;
jpgImages\video\frames\moana_1080p_2min 284.jpg;0.91;289.86;133.84;704.55;512.72;
jpgImages\video\frames\moana_1080p_2min 284.jpg;0.77;0.27;106.07;602.69;514.27;
jpgImages\video\frames\moana_1080p_2min 284.jpg;0.26;439.61;23.35;1054.83;528.36;
jpgImages\video\frames\moana_1080p_2min 285.jpg;0.97;436.59;126.09;804.32;501.93;
jpgImages\video\frames\moana_1080p_2min 285.jpg;0.95;0.15;59.32;538.45;525.04;
jpgImages\video\frames\moana_1080p_2min 286.jpg;1.00;445.36;115.09;861.09;504.65;
jpgImages\video\frames\moana_1080p_2min 286.jpg;0.97;5.25;63.73;553.48;498.15;
jpgImages\video\frames\moana_1080p_2min 287.jpg;1.00;482.47;118.16;837.08;501.42;
jpgImages\video\frames\moana_1080p_2min 287.jpg;0.80;6.51;58.87;557.65;500.50;
jpgImages\video\frames\moana_1080p_2min 288.jpg;0.99;509.34;119.49;806.96;501.06;
jpgImages\video\frames\moana_1080p_2min 288.jpg;0.97;18.16;62.74;509.81;497.67;
jpgImages\video\frames\moana_1080p_2min 289.jpg;0.99;294.80;148.30;561.67;446.73;
jpgImages\video\frames\moana_1080p_2min 289.jpg;0.92;457.69;187.06;557.43;428.39;
jpgImages\video\frames\moana_1080p_2min 290.jpg;0.69;288.10;105.76;579.81;493.49;
jpgImages\video\frames\moana_1080p_2min 291.jpg;0.63;339.75;81.67;656.66;442.65;
jpgImages\video\frames\moana_1080p_2min 292.jpg;0.96;424.74;139.10;835.77;480.71;
jpgImages\video\frames\moana_1080p_2min 293.jpg;0.98;464.77;204.85;554.32;441.62;
jpgImages\video\frames\moana_1080p_2min 293.jpg;0.92;501.47;77.52;937.24;482.78;
